index,created_at,tweet_id,credible,author_id,text,urls,name,username,verified,location,followers_count,following_count,tweet_count,like_count,quote_count,reply_count,retweet_count,retweet_author_id,retweet_id,retweeted_screen_name,user_mentions_id,user_mentions_screen_name,in_reply_to_user_id,in_reply_to_tweet_id,in_reply_to_username,reference_type,reference_id
30333,2021-03-01 07:06:35+05:30,1366200664402006016,1,18839785,"Took my first dose of the COVID-19 vaccine at AIIMS. 

Remarkable how our doctors and scientists have worked in quick time to strengthen the global fight against COVID-19. 

I appeal to all those who are eligible to take the vaccine. Together, let us make India COVID-19 free! https://t.co/5z5cvAoMrv","twitter.com,",Narendra Modi,narendramodi,True,India,82431058,2448,34004,220543,4339,11595,43621,#,#,#,#,#,#,#,#,#,#
595258,2021-03-01 15:16:53-08:00,1366527892193165314,1,85694915,"Trump got the vaccine but didn't want you to know. He didn't want you to believe it was safe. 

His persona is more important to him than your life. 

It's all an act.",#,Erin Brockovich,ErinBrockovich,True,"Agoura Hills, California ",210321,1339,5438,106274,837,1541,20690,#,#,#,#,#,#,#,#,#,#
475450,2021-03-01 14:09:35-05:00,1366465659979333632,1,22771961,"Trump and former First Lady Melania both received covid vaccine at the WH back in January, a Trump adviser confirms.",#,Jim Acosta,Acosta,True,"Washington, DC",2290327,5027,42756,23410,1770,5581,5809,#,#,#,#,#,#,#,#,#,#
139300,2021-03-01 11:24:34+05:30,1366265588679544838,1,3489768920,"Happy to share that I took my first dose of #COVID19 vaccine today. Grateful to our scientists, health workers for their race against time to deliver the vaccines to people. 

Appeal to all eligible people to come forward and get vaccinated for a #CovidFreeOdisha. https://t.co/aqqKSeb2ME","twitter.com,",Naveen Patnaik,Naveen_Odisha,True,"Bhubaneswar, Odisha",3478580,21,13410,22396,129,296,2164,#,#,#,#,#,#,#,#,#,#
507353,2021-03-01 12:09:59-08:00,1366480858912223239,1,455684839,"So Trump got the vaccine in January, but because his entire identity is predicated on pretending that following science/public health are signs of weakness, he did it in private and refused to tell anyone.",#,Brian Tyler Cohen,briantylercohen,True,Los Angeles,582763,1040,19484,22062,337,843,5572,#,#,#,#,#,#,#,#,#,#
287002,2021-03-01 07:49:24-05:00,1366369982544830465,1,95464071,literally everyone needs it https://t.co/0318dvH6DX,"t.co,",lauren,NotABigJerk,False,D.C.,72488,1572,132835,21355,31,69,1305,#,#,#,#,#,#,#,#,#,#
35157,2021-02-28 20:47:27-05:00,1366203397133660162,1,2506817042,who’s getting the best vaccine https://t.co/6MjKuQtas4,"twitter.com,",campbell,rodeoman,False,NYC,2863,1072,38425,21285,245,64,2775,#,#,#,#,#,#,#,#,#,#
327214,#,1366393501563441153,1,93476253,"Black vax hesitancy makes headlines, but the most reluctant group by far is white Republicans--a much larger group. https://t.co/WPqjSlHNpt https://t.co/ytKlpOSQv4","www.axios.com,twitter.com,",Deen Freelon,dfreelon,True,Chapel Hill/Zoom,14918,3013,17273,21092,886,505,7821,#,#,#,#,#,#,#,#,#,#
331337,2021-03-01 08:31:37-06:00,1366395704906768387,1,27493883,I’m getting my first Covid vaccination next week — so excited!! Who else is looking forward to getting your first or second shot?,#,Jon Cooper,joncoopertweets,True,"New York, Florida",1205030,69925,371777,20779,285,2825,959,#,#,#,#,#,#,#,#,#,#
92091,2021-02-28 20:54:29-07:00,1366235366613610496,1,3291691,"The faster we vaccinate, the quicker we prevent the virus from mutating to a version that existing vaccines DON’T treat. 

So stop virtue signaling with these dumb vaccination criteria and start mass vaccination programs. NOW!!",#,Chamath Palihapitiya,chamath,True,CA,1591996,720,7938,20537,198,1121,1934,#,#,#,#,#,#,#,#,#,#
508229,#,1366481322005430286,1,14529929,Why hide this information until this week? https://t.co/MlCR7J2mwN,"twitter.com,",Jake Tapper,jaketapper,True,Corner Grey St & end of world,3185654,10786,264107,20462,203,1708,2772,#,#,#,#,#,#,#,#,quoted,1366465659979333632
61629,2021-03-01 08:16:18+05:30,1366218209804705792,1,355989081,#WATCH: Prime Minister Narendra Modi took his first dose of the #COVID19 vaccine at AIIMS Delhi today. He was administered Bharat Biotech's COVAXIN. https://t.co/VqqBYZDTFU,"twitter.com,",ANI,ANI,True,India,7279219,0,593279,20409,402,508,3913,#,#,#,#,#,#,#,#,#,#
90739,2021-03-01 09:21:22+05:30,1366234582190682118,1,390677061,"3 messages in one act.

1. PM didn’t jump queue. 
Took his vaccine only when all senior citizens were eligible.

2. Boosted confidence of all in our vaccine.

3. He could have taken it at his residence; but like all, went to government facility to take his shot.

#LeadbyExample https://t.co/GSiA9CaMpL","twitter.com,",Tejasvi Surya,Tejasvi_Surya,True,"Bengaluru, India",1226151,1317,9614,17656,108,285,3414,#,#,#,#,#,#,#,#,quoted,1366200664402006016
210433,2021-03-01 14:41:06+05:30,1366315044233863168,1,146360682,"PM Sh @NarendraModi chose early morning hours to take COVID vaccination. No traffic stopped. Traveled normally, filled form at AIIMS, took the Jab, waited for 30 minutes under observation and returned back like a common citizen. https://t.co/cJbXFdKl1c","twitter.com,",Dr Jitendra Singh,DrJitendraSingh,True,INDIA,730000,289,28484,15284,127,226,2406,#,#,#,18839785,narendramodi,#,#,#,#,#
142128,2021-03-01 00:02:29-06:00,1366267578436390919,1,797720168713441280,"""Modi doesn't have abs. That's why he took vaccine on the arm. I'll take vaccine on one of my 8 packs. Thereafter I'll sleep within 30 seconds to prove that my vaccination was honest unlike his. When I wake up, I'll also demand a ministry of sleep to promote honest vaccination."" https://t.co/Avn3TZBdcZ","twitter.com,",THE SKIN DOCTOR,theskindoctor13,False,"Flower Mound, TX",561460,236,20821,15189,101,345,1970,#,#,#,#,#,#,#,#,#,#
409754,2021-03-01 09:03:41-08:00,1366433975959494657,1,10926202,In California the homeless and prisoners are getting the vaccine before taxpayers.  It sounds like something out of Idiocracy.  If that isn't the most California way of doing things I don't know what is.,#,Adam Carolla,adamcarolla,True,"Los Angeles, CA",770852,401,40483,14439,245,846,2625,#,#,#,#,#,#,#,#,#,#
